Name,Description,Price,Type,Notes
San-Diego,Chicken breasts + Special kickers cheddar sauce + spicy Cheetos chips + mayonnaise + lettuce + pickled cucumber,120,Burger,spicy
Hot Gates,Chicken breasts + smoked beef + onion rings + spicy lava sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,130,Burger,spicy
Ranchi Mushroom,Chicken breasts + smoked beef + fresh mushroom + ranch sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,130,Burger,not spicy
Classic Kickers,Chicken breasts + cheddar slice + mayonnaise + lettuce + pickled cucumber,110,Burger,not spicy
Honey Mustard,Chicken breasts + smoked beef + honey mustard sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,120,Burger,no spicy
Sweet Chilli,Chicken breasts + smoked turkey + sweet chilly sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,120,Burger,spicy
Mexican Doritos,Chicken breasts + smoked turkey + Doritos + spicy lava sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,120,Burger,spicy
Blue Gheese,Chicken breasts + smoked beef + blue cheese sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,125,Burger,not spicy
BBQ Lovers,Chicken breasts + smoked beef + onion rings + BBQ sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,125,Burger,not spicy
Kickers Madness,Chicken breasts + smoked turkey + cheddar jalapeno sticks  + special kickers sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,135,Burger,not spicy
Cheesy Lovers,Chicken breasts + smoked turkey + special kickers cheese sauce + special kickers sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,135,Burger,not spicy
Caesar Kickers,Chicken breasts + smoked beef + onion rings + Caesar sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,125,Burger,not spicy
Smoky Kickers,Chicken breasts + smoked beef + smoked kickers sauce + cheddar slice + mayonnaise + lettuce + pickled cucumber,125,Burger,not spicy
Doppio Meal,2 Chicken breasts sandwich + special kickers buns + fries + 2 sauce + coleslaw,150,Burger Meal,not spicy
Junior Supreme,Chicken breasts + smoked beef + cheddar slice + mayonnaise + lettuce + pickled cucumber,125,Sandwich,not spicy
Kickers Wrap,Chicken breasts + sauce + cheddar slice + lettuce + pickled cucumber,90,Wrap sandwich,spicy or normal
